Acres,InpID,LocationID,CommType,Lon_DD,Lat_DD
2.36799987649,44,HOME_InvPla_44,P,96.834099┬░ W,40.286975┬░ N
1.31129697238,21,HOME_InvPla_21,P,96.834110┬░ W,40.288466┬░ N
2.54334679678,2,HOME_InvPla_2,F,96.834177┬░ W,40.291457┬░ N
1.19838965970,75,HOME_InvPla_75,P,96.833447┬░ W,40.285114┬░ N
1.37614204414,76,HOME_InvPla_76,P,96.832965┬░ W,40.285299┬░ N
1.99841265622,59,HOME_InvPla_59,P,96.833061┬░ W,40.286216┬░ N
1.83248233322,45,HOME_InvPla_45,P,96.832874┬░ W,40.287054┬░ N
1.19549178835,22,HOME_InvPla_22,P,96.832951┬░ W,40.288478┬░ N
1.95762091019,3,HOME_InvPla_3,F,96.832932┬░ W,40.291558┬░ N
2.53268494324,77,HOME_InvPla_77,P,96.832131┬░ W,40.285201┬░ N
1.99999962215,60,HOME_InvPla_60,P,96.832100┬░ W,40.286119┬░ N
1.48188933411,46,HOME_InvPla_46,P,96.832004┬░ W,40.286842┬░ N
1.40392884688,32,HOME_InvPla_32,P,96.832206┬░ W,40.287741┬░ N
1.37211800207,23,HOME_InvPla_23,P,96.832189┬░ W,40.288549┬░ N
1.41703550982,11,HOME_InvPla_11,P,96.832255┬░ W,40.290215┬░ N
1.34019636728,16,HOME_InvPla_16,P,96.832116┬░ W,40.289417┬░ N
1.77148998297,4,HOME_InvPla_4,F,96.832140┬░ W,40.291334┬░ N
2.48464332065,78,HOME_InvPla_78,P,96.831074┬░ W,40.285191┬░ N
1.99997685790,61,HOME_InvPla_61,P,96.831043┬░ W,40.286099┬░ N
1.73110561475,47,HOME_InvPla_47,P,96.831027┬░ W,40.286855┬░ N
1.38132274708,79,HOME_InvPla_79,P,96.830242┬░ W,40.285204┬░ N
1.37975320235,62,HOME_InvPla_62,P,96.830148┬░ W,40.286094┬░ N
1.24675458522,48,HOME_InvPla_48,P,96.830079┬░ W,40.286812┬░ N
1.68379568558,70,HOME_InvPla_70,P,96.837499┬░ W,40.285511┬░ N
1.82972456282,71,HOME_InvPla_71,P,96.837651┬░ W,40.284956┬░ N
1.54366835007,8,HOME_InvPla_8,P,96.833002┬░ W,40.290814┬░ N
1.48764613584,10,HOME_InvPla_10,P,96.832977┬░ W,40.290118┬░ N
1.38095090173,7,HOME_InvPla_7,P,96.833770┬░ W,40.290869┬░ N
1.24268713246,9,HOME_InvPla_9,P,96.833856┬░ W,40.290119┬░ N
2.82058186165,35,HOME_InvPla_35,P,96.829446┬░ W,40.287721┬░ N
2.66505807233,34,HOME_InvPla_34,P,96.830419┬░ W,40.287751┬░ N
2.43789677235,33,HOME_InvPla_33,P,96.831365┬░ W,40.287799┬░ N
2.48559023356,51,HOME_InvPla_51,P,96.827811┬░ W,40.287101┬░ N
1.81364418837,37,HOME_InvPla_37,P,96.827474┬░ W,40.287861┬░ N
2.19233502133,36,HOME_InvPla_36,P,96.828419┬░ W,40.287873┬░ N
1.74088924252,65,HOME_InvPla_65,P,96.827450┬░ W,40.286209┬░ N
2.11064248551,82,HOME_InvPla_82,P,96.827447┬░ W,40.285222┬░ N
2.08825414401,49,HOME_InvPla_49,P,96.829217┬░ W,40.286623┬░ N
1.81706290875,50,HOME_InvPla_50,P,96.828304┬░ W,40.286570┬░ N
2.12471174040,63,HOME_InvPla_63,P,96.829308┬░ W,40.285728┬░ N
1.71868600680,80,HOME_InvPla_80,P,96.829389┬░ W,40.284998┬░ N
1.81102010157,64,HOME_InvPla_64,P,96.828313┬░ W,40.285718┬░ N
1.28659721219,81,HOME_InvPla_81,P,96.828338┬░ W,40.284992┬░ N
2.27616560981,67,HOME_InvPla_67,F,96.840751┬░ W,40.285068┬░ N
2.50116287206,66,HOME_InvPla_66,F,96.840739┬░ W,40.285816┬░ N
2.35637134062,52,HOME_InvPla_52,F,96.840730┬░ W,40.286560┬░ N
2.12299296058,24,HOME_InvPla_24,F,96.840707┬░ W,40.288036┬░ N
2.72383519487,38,HOME_InvPla_38,F,96.840720┬░ W,40.287323┬░ N
1.27954897453,15,HOME_InvPla_15,P,96.832998┬░ W,40.289494┬░ N
1.20823467955,20,HOME_InvPla_20,P,96.833134┬░ W,40.288861┬░ N
1.99245028703,31,HOME_InvPla_31,P,96.833105┬░ W,40.287760┬░ N
1.33656204764,19,HOME_InvPla_19,P,96.834059┬░ W,40.288935┬░ N
1.49692314550,14,HOME_InvPla_14,P,96.834036┬░ W,40.289538┬░ N
2.16837903122,13,HOME_InvPla_13,F,96.835113┬░ W,40.289395┬░ N
