ParkName,ParkCode,LocationID,Lat_DD,Lon_DD,PeriodID,SampleYear,Species,CoverClass,MidRange
Effigy Mounds National Monument,EFMO,EFMO_InvPla_136,43.09,-91.20,EFMOInvPla2022Jul5,2022,ALPE4,2,5.00
Effigy Mounds National Monument,EFMO,EFMO_InvPla_136,43.09,-91.20,EFMOInvPla2022Jul5,2022,ROMU,1,0.50
Effigy Mounds National Monument,EFMO,EFMO_InvPla_137,43.09,-91.20,EFMOInvPla2022Jul5,2022,ALPE4,2,5.00
Effigy Mounds National Monument,EFMO,EFMO_InvPla_138,43.08,-91.19,EFMOInvPla2022Jul5,2022,LYNU,1,0.50
Effigy Mounds National Monument,EFMO,EFMO_InvPla_138,43.08,-91.19,EFMOInvPla2022Jul5,2022,ALPE4,4,75.00
Effigy Mounds National Monument,EFMO,EFMO_InvPla_138,43.08,-91.19,EFMOInvPla2022Jul5,2022,PHAR3,3,30.00
Effigy Mounds National Monument,EFMO,EFMO_InvPla_138,43.08,-91.19,EFMOInvPla2022Jul5,2022,GLHE2,2,5.00
Effigy Mounds National Monument,EFMO,EFMO_InvPla_139,43.08,-91.19,EFMOInvPla2022Jul5,2022,LYNU,1,0.50
Effigy Mounds National Monument,EFMO,EFMO_InvPla_14,43.10,-91.18,EFMOInvPla2022Jul5,2022,ALPE4,1,0.50
Effigy Mounds National Monument,EFMO,EFMO_InvPla_141,43.08,-91.19,EFMOInvPla2022Jul5,2022,ALPE4,2,5.00
Effigy Mounds National Monument,EFMO,EFMO_InvPla_141,43.08,-91.19,EFMOInvPla2022Jul5,2022,CIAR4,2,5.00
Effigy Mounds National Monument,EFMO,EFMO_InvPla_146,43.09,-91.23,EFMOInvPla2022Jul5,2022,ALPE4,1,0.50
Effigy Mounds National Monument,EFMO,EFMO_InvPla_146,43.09,-91.23,EFMOInvPla2022Jul5,2022,ROMU,1,0.50
Effigy Mounds National Monument,EFMO,EFMO_InvPla_147,43.09,-91.23,EFMOInvPla2022Jul5,2022,ROMU,1,0.50
Effigy Mounds National Monument,EFMO,EFMO_InvPla_147,43.09,-91.23,EFMOInvPla2022Jul5,2022,ALPE4,1,0.50
Effigy Mounds National Monument,EFMO,EFMO_InvPla_148,43.09,-91.23,EFMOInvPla2022Jul5,2022,ROMU,1,0.50
Effigy Mounds National Monument,EFMO,EFMO_InvPla_148,43.09,-91.23,EFMOInvPla2022Jul5,2022,ALPE4,2,5.00
Effigy Mounds National Monument,EFMO,EFMO_InvPla_149,43.09,-91.22,EFMOInvPla2022Jul5,2022,ALPE4,2,5.00
Effigy Mounds National Monument,EFMO,EFMO_InvPla_15,43.10,-91.18,EFMOInvPla2022Jul5,2022,LOMA6,3,30.00
Effigy Mounds National Monument,EFMO,EFMO_InvPla_15,43.10,-91.18,EFMOInvPla2022Jul5,2022,ROMU,2,5.00
Effigy Mounds National Monument,EFMO,EFMO_InvPla_15,43.10,-91.18,EFMOInvPla2022Jul5,2022,ALPE4,3,30.00
Effigy Mounds National Monument,EFMO,EFMO_InvPla_15,43.10,-91.18,EFMOInvPla2022Jul5,2022,BETH,1,0.50
Effigy Mounds National Monument,EFMO,EFMO_InvPla_151,43.09,-91.21,EFMOInvPla2022Jul5,2022,BRIN2,2,5.00
Effigy Mounds National Monument,EFMO,EFMO_InvPla_151,43.09,-91.21,EFMOInvPla2022Jul5,2022,ARMI2,2,5.00
Effigy Mounds National Monument,EFMO,EFMO_InvPla_151,43.09,-91.21,EFMOInvPla2022Jul5,2022,DACA6,2,5.00
Effigy Mounds National Monument,EFMO,EFMO_InvPla_151,43.09,-91.21,EFMOInvPla2022Jul5,2022,PASA2,2,5.00
Effigy Mounds National Monument,EFMO,EFMO_InvPla_151,43.09,-91.21,EFMOInvPla2022Jul5,2022,ALPE4,1,0.50
Effigy Mounds National Monument,EFMO,EFMO_InvPla_151,43.09,-91.21,EFMOInvPla2022Jul5,2022,PHAR3,2,5.00
Effigy Mounds National Monument,EFMO,EFMO_InvPla_151,43.09,-91.21,EFMOInvPla2022Jul5,2022,CIAR4,2,5.00
Effigy Mounds National Monument,EFMO,EFMO_InvPla_152,43.08,-91.21,EFMOInvPla2022Jul5,2022,ARMI2,3,30.00
Effigy Mounds National Monument,EFMO,EFMO_InvPla_152,43.08,-91.21,EFMOInvPla2022Jul5,2022,PASA2,2,5.00
Effigy Mounds National Monument,EFMO,EFMO_InvPla_152,43.08,-91.21,EFMOInvPla2022Jul5,2022,ALPE4,2,5.00
Effigy Mounds National Monument,EFMO,EFMO_InvPla_152,43.08,-91.21,EFMOInvPla2022Jul5,2022,GLHE2,2,5.00
Effigy Mounds National Monument,EFMO,EFMO_InvPla_152,43.08,-91.21,EFMOInvPla2022Jul5,2022,LOTA,2,5.00
Effigy Mounds National Monument,EFMO,EFMO_InvPla_152,43.08,-91.21,EFMOInvPla2022Jul5,2022,LYNU,3,30.00
Effigy Mounds National Monument,EFMO,EFMO_InvPla_152,43.08,-91.21,EFMOInvPla2022Jul5,2022,CIAR4,3,30.00
Effigy Mounds National Monument,EFMO,EFMO_InvPla_152,43.08,-91.21,EFMOInvPla2022Jul5,2022,PHAR3,5,300.00
Effigy Mounds National Monument,EFMO,EFMO_InvPla_153,43.08,-91.21,EFMOInvPla2022Jul5,2022,CIAR4,2,5.00
Effigy Mounds National Monument,EFMO,EFMO_InvPla_153,43.08,-91.21,EFMOInvPla2022Jul5,2022,PHAR3,7,3000.00
Effigy Mounds National Monument,EFMO,EFMO_InvPla_153,43.08,-91.21,EFMOInvPla2022Jul5,2022,PASA2,2,5.00
Effigy Mounds National Monument,EFMO,EFMO_InvPla_154,43.08,-91.20,EFMOInvPla2022Jul5,2022,PHAR3,6,750.00
Effigy Mounds National Monument,EFMO,EFMO_InvPla_154,43.08,-91.20,EFMOInvPla2022Jul5,2022,ALPE4,1,0.50
Effigy Mounds National Monument,EFMO,EFMO_InvPla_155,43.08,-91.20,EFMOInvPla2022Jul5,2022,ALPE4,3,30.00
Effigy Mounds National Monument,EFMO,EFMO_InvPla_156,43.08,-91.20,EFMOInvPla2022Jul5,2022,ALPE4,4,75.00
Effigy Mounds National Monument,EFMO,EFMO_InvPla_157,43.08,-91.20,EFMOInvPla2022Jul5,2022,ALPE4,5,300.00
Effigy Mounds National Monument,EFMO,EFMO_InvPla_158,43.08,-91.19,EFMOInvPla2022Jul5,2022,LYNU,3,30.00
Effigy Mounds National Monument,EFMO,EFMO_InvPla_158,43.08,-91.19,EFMOInvPla2022Jul5,2022,ROMU,2,5.00
Effigy Mounds National Monument,EFMO,EFMO_InvPla_158,43.08,-91.19,EFMOInvPla2022Jul5,2022,ALPE4,1,0.50
Effigy Mounds National Monument,EFMO,EFMO_InvPla_158,43.08,-91.19,EFMOInvPla2022Jul5,2022,GLHE2,2,5.00
Effigy Mounds National Monument,EFMO,EFMO_InvPla_158,43.08,-91.19,EFMOInvPla2022Jul5,2022,BETH,2,5.00
Effigy Mounds National Monument,EFMO,EFMO_InvPla_158,43.08,-91.19,EFMOInvPla2022Jul5,2022,LOMA6,1,0.50
Effigy Mounds National Monument,EFMO,EFMO_InvPla_159,43.08,-91.19,EFMOInvPla2022Jul5,2022,PHAR3,5,300.00
Effigy Mounds National Monument,EFMO,EFMO_InvPla_159,43.08,-91.19,EFMOInvPla2022Jul5,2022,GLHE2,2,5.00
Effigy Mounds National Monument,EFMO,EFMO_InvPla_16,43.10,-91.17,EFMOInvPla2022Jul5,2022,PHAR3,1,0.50
Effigy Mounds National Monument,EFMO,EFMO_InvPla_16,43.10,-91.17,EFMOInvPla2022Jul5,2022,ARMI2,2,5.00
Effigy Mounds National Monument,EFMO,EFMO_InvPla_16,43.10,-91.17,EFMOInvPla2022Jul5,2022,DACA6,1,0.50
Effigy Mounds National Monument,EFMO,EFMO_InvPla_16,43.10,-91.17,EFMOInvPla2022Jul5,2022,ROPS,1,0.50
Effigy Mounds National Monument,EFMO,EFMO_InvPla_16,43.10,-91.17,EFMOInvPla2022Jul5,2022,ALPE4,3,30.00
Effigy Mounds National Monument,EFMO,EFMO_InvPla_160,43.08,-91.19,EFMOInvPla2022Jul5,2022,PHAR3,2,5.00
Effigy Mounds National Monument,EFMO,EFMO_InvPla_160,43.08,-91.19,EFMOInvPla2022Jul5,2022,CIAR4,2,5.00
Effigy Mounds National Monument,EFMO,EFMO_InvPla_163,43.08,-91.18,EFMOInvPla2022Jul5,2022,LOMA6,1,0.50
Effigy Mounds National Monument,EFMO,EFMO_InvPla_163,43.08,-91.18,EFMOInvPla2022Jul5,2022,LOTA,2,5.00
Effigy Mounds National Monument,EFMO,EFMO_InvPla_163,43.08,-91.18,EFMOInvPla2022Jul5,2022,PHAR3,2,5.00
Effigy Mounds National Monument,EFMO,EFMO_InvPla_163,43.08,-91.18,EFMOInvPla2022Jul5,2022,LYNU,2,5.00
Effigy Mounds National Monument,EFMO,EFMO_InvPla_163,43.08,-91.18,EFMOInvPla2022Jul5,2022,VETH,1,0.50
Effigy Mounds National Monument,EFMO,EFMO_InvPla_163,43.08,-91.18,EFMOInvPla2022Jul5,2022,GLHE2,2,5.00
Effigy Mounds National Monument,EFMO,EFMO_InvPla_163,43.08,-91.18,EFMOInvPla2022Jul5,2022,ROMU,1,0.50
Effigy Mounds National Monument,EFMO,EFMO_InvPla_163,43.08,-91.18,EFMOInvPla2022Jul5,2022,CANU4,2,5.00
Effigy Mounds National Monument,EFMO,EFMO_InvPla_164,43.08,-91.18,EFMOInvPla2022Jul5,2022,PHAR3,2,5.00
Effigy Mounds National Monument,EFMO,EFMO_InvPla_164,43.08,-91.18,EFMOInvPla2022Jul5,2022,VETH,1,0.50
Effigy Mounds National Monument,EFMO,EFMO_InvPla_165,43.08,-91.18,EFMOInvPla2022Jul5,2022,PASA2,2,5.00
Effigy Mounds National Monument,EFMO,EFMO_InvPla_165,43.08,-91.18,EFMOInvPla2022Jul5,2022,VETH,1,0.50
Effigy Mounds National Monument,EFMO,EFMO_InvPla_167,43.09,-91.23,EFMOInvPla2022Jul5,2022,ALPE4,2,5.00
Effigy Mounds National Monument,EFMO,EFMO_InvPla_167,43.09,-91.23,EFMOInvPla2022Jul5,2022,LOMA6,1,0.50
Effigy Mounds National Monument,EFMO,EFMO_InvPla_168,43.09,-91.23,EFMOInvPla2022Jul5,2022,PHAR3,1,0.50
Effigy Mounds National Monument,EFMO,EFMO_InvPla_168,43.09,-91.23,EFMOInvPla2022Jul5,2022,ROMU,1,0.50
Effigy Mounds National Monument,EFMO,EFMO_InvPla_168,43.09,-91.23,EFMOInvPla2022Jul5,2022,ALPE4,1,0.50
Effigy Mounds National Monument,EFMO,EFMO_InvPla_168,43.09,-91.23,EFMOInvPla2022Jul5,2022,LOMA6,1,0.50
Effigy Mounds National Monument,EFMO,EFMO_InvPla_169,43.08,-91.22,EFMOInvPla2022Jul5,2022,ALPE4,3,30.00
Effigy Mounds National Monument,EFMO,EFMO_InvPla_17,43.10,-91.18,EFMOInvPla2022Jul5,2022,ROMU,1,0.50
Effigy Mounds National Monument,EFMO,EFMO_InvPla_17,43.10,-91.18,EFMOInvPla2022Jul5,2022,PASA2,1,0.50
Effigy Mounds National Monument,EFMO,EFMO_InvPla_17,43.10,-91.18,EFMOInvPla2022Jul5,2022,DACA6,1,0.50
Effigy Mounds National Monument,EFMO,EFMO_InvPla_17,43.10,-91.18,EFMOInvPla2022Jul5,2022,ALPE4,2,5.00
Effigy Mounds National Monument,EFMO,EFMO_InvPla_170,43.08,-91.22,EFMOInvPla2022Jul5,2022,ROMU,1,0.50
Effigy Mounds National Monument,EFMO,EFMO_InvPla_170,43.08,-91.22,EFMOInvPla2022Jul5,2022,ALPE4,1,0.50
Effigy Mounds National Monument,EFMO,EFMO_InvPla_171,43.08,-91.21,EFMOInvPla2022Jul5,2022,ROMU,2,5.00
Effigy Mounds National Monument,EFMO,EFMO_InvPla_171,43.08,-91.21,EFMOInvPla2022Jul5,2022,ULPU,1,0.50
Effigy Mounds National Monument,EFMO,EFMO_InvPla_171,43.08,-91.21,EFMOInvPla2022Jul5,2022,POPR,3,30.00
Effigy Mounds National Monument,EFMO,EFMO_InvPla_171,43.08,-91.21,EFMOInvPla2022Jul5,2022,BRIN2,5,300.00
Effigy Mounds National Monument,EFMO,EFMO_InvPla_172,43.08,-91.21,EFMOInvPla2022Jul5,2022,LOMA6,1,0.50
Effigy Mounds National Monument,EFMO,EFMO_InvPla_172,43.08,-91.21,EFMOInvPla2022Jul5,2022,ALPE4,1,0.50
Effigy Mounds National Monument,EFMO,EFMO_InvPla_172,43.08,-91.21,EFMOInvPla2022Jul5,2022,PHAR3,5,300.00
Effigy Mounds National Monument,EFMO,EFMO_InvPla_172,43.08,-91.21,EFMOInvPla2022Jul5,2022,ROMU,4,75.00
Effigy Mounds National Monument,EFMO,EFMO_InvPla_172,43.08,-91.21,EFMOInvPla2022Jul5,2022,CIAR4,1,0.50
Effigy Mounds National Monument,EFMO,EFMO_InvPla_173,43.08,-91.21,EFMOInvPla2022Jul5,2022,ALPE4,1,0.50
Effigy Mounds National Monument,EFMO,EFMO_InvPla_173,43.08,-91.21,EFMOInvPla2022Jul5,2022,PHAR3,4,75.00
Effigy Mounds National Monument,EFMO,EFMO_InvPla_173,43.08,-91.21,EFMOInvPla2022Jul5,2022,RUCR,1,0.50
Effigy Mounds National Monument,EFMO,EFMO_InvPla_173,43.08,-91.21,EFMOInvPla2022Jul5,2022,ROMU,2,5.00
Effigy Mounds National Monument,EFMO,EFMO_InvPla_174,43.08,-91.20,EFMOInvPla2022Jul5,2022,ROMU,1,0.50
Effigy Mounds National Monument,EFMO,EFMO_InvPla_174,43.08,-91.20,EFMOInvPla2022Jul5,2022,ALPE4,1,0.50
Effigy Mounds National Monument,EFMO,EFMO_InvPla_175,43.08,-91.20,EFMOInvPla2022Jul5,2022,BETH,1,0.50
Effigy Mounds National Monument,EFMO,EFMO_InvPla_175,43.08,-91.20,EFMOInvPla2022Jul5,2022,LECA2,1,0.50
Effigy Mounds National Monument,EFMO,EFMO_InvPla_175,43.08,-91.20,EFMOInvPla2022Jul5,2022,ALPE4,1,0.50
Effigy Mounds National Monument,EFMO,EFMO_InvPla_176,43.08,-91.20,EFMOInvPla2022Jul5,2022,ALPE4,1,0.50
Effigy Mounds National Monument,EFMO,EFMO_InvPla_177,43.08,-91.20,EFMOInvPla2022Jul5,2022,ALPE4,2,5.00
Effigy Mounds National Monument,EFMO,EFMO_InvPla_177,43.08,-91.20,EFMOInvPla2022Jul5,2022,ROMU,3,30.00
