ParkName,ParkCode,LocationID,PeriodID,CommonName,ScientificName,CoverClass,MidRange
Pea Ridge National Military Park,PERI,PERI_InvPla_71,PERIInvPla2021Aug16,eastern redcedar,Juniperus virginiana,3,30
Pea Ridge National Military Park,PERI,PERI_InvPla_71,PERIInvPla2021Aug16,sericea lespedeza,Lespedeza cuneata,3,30
Pea Ridge National Military Park,PERI,PERI_InvPla_71,PERIInvPla2021Aug16,privet sp.,Ligustrum,1,0.5
Pea Ridge National Military Park,PERI,PERI_InvPla_71,PERIInvPla2021Aug16,multiflora rose,Rosa multiflora,1,0.5
Pea Ridge National Military Park,PERI,PERI_InvPla_71,PERIInvPla2021Aug16,tall fescue,Schedonorus arundinaceus,3,30
Pea Ridge National Military Park,PERI,PERI_InvPla_71,PERIInvPla2021Aug16,Johnsongrass,Sorghum halepense,2,5
Pea Ridge National Military Park,PERI,PERI_InvPla_71,PERIInvPla2021Aug16,Nepalese browntop. Japanese stiltgrass,Microstegium vimineum,5,300
Pea Ridge National Military Park,PERI,PERI_InvPla_71,PERIInvPla2021Aug16,Japanese honeysuckle,Lonicera japonica,1,0.5
Pea Ridge National Military Park,PERI,PERI_InvPla_76,PERIInvPla2021Aug16,Nepalese browntop. Japanese stiltgrass,Microstegium vimineum,5,300
Pea Ridge National Military Park,PERI,PERI_InvPla_76,PERIInvPla2021Aug16,eastern redcedar,Juniperus virginiana,5,300
Pea Ridge National Military Park,PERI,PERI_InvPla_76,PERIInvPla2021Aug16,black locust,Robinia pseudoacacia,2,5
Pea Ridge National Military Park,PERI,PERI_InvPla_76,PERIInvPla2021Aug16,multiflora rose,Rosa multiflora,1,0.5
Pea Ridge National Military Park,PERI,PERI_InvPla_77,PERIInvPla2021Aug16,bald brome. spiked brome,Bromus racemosus,1,0.5
Pea Ridge National Military Park,PERI,PERI_InvPla_77,PERIInvPla2021Aug16,eastern redcedar,Juniperus virginiana,3,30
Pea Ridge National Military Park,PERI,PERI_InvPla_77,PERIInvPla2021Aug16,Nepalese browntop. Japanese stiltgrass,Microstegium vimineum,2,5
Pea Ridge National Military Park,PERI,PERI_InvPla_77,PERIInvPla2021Aug16,tall fescue,Schedonorus arundinaceus,2,5
Pea Ridge National Military Park,PERI,PERI_InvPla_77,PERIInvPla2021Aug16,Queen Anne's lace,Daucus carota,1,0.5
Pea Ridge National Military Park,PERI,PERI_InvPla_78,PERIInvPla2021Aug16,eastern redcedar,Juniperus virginiana,3,30
Pea Ridge National Military Park,PERI,PERI_InvPla_78,PERIInvPla2021Aug16,Nepalese browntop. Japanese stiltgrass,Microstegium vimineum,4,75
Pea Ridge National Military Park,PERI,PERI_InvPla_79,PERIInvPla2021Aug16,eastern redcedar,Juniperus virginiana,3,30
Pea Ridge National Military Park,PERI,PERI_InvPla_79,PERIInvPla2021Aug16,Nepalese browntop. Japanese stiltgrass,Microstegium vimineum,5,300
Pea Ridge National Military Park,PERI,PERI_InvPla_79,PERIInvPla2021Aug16,multiflora rose,Rosa multiflora,1,0.5
Pea Ridge National Military Park,PERI,PERI_InvPla_79,PERIInvPla2021Aug16,black locust,Robinia pseudoacacia,1,0.5
Pea Ridge National Military Park,PERI,PERI_InvPla_79,PERIInvPla2021Aug16,tall fescue,Schedonorus arundinaceus,2,5
Pea Ridge National Military Park,PERI,PERI_InvPla_79,PERIInvPla2021Aug16,winter creeper,Euonymus fortunei,1,0.5
