InpID,Easting,Northing,Acres,LocationID,Lon_DD,Lat_DD
67,645045.391694373,4773188.89908923,9.86792461095,EFMO_InvPla_67,-91.217682,43.097546
68,645243.548268217,4773162.00501439,9.87507274511,EFMO_InvPla_68,-91.215255,43.097266
69,645441.701731783,4773134.99498561,9.87507274519,EFMO_InvPla_69,-91.212828,43.096985
70,645639.875,4773108,9.87642778256,EFMO_InvPla_70,-91.210401,43.096704
71,645838.0625,4773081,9.87647101999,EFMO_InvPla_71,-91.207974,43.096423
72,646036.25,4773054,9.87637081793,EFMO_InvPla_72,-91.205547,43.096142
73,646234.463399604,4773027.11893444,9.88564203668,EFMO_InvPla_73,-91.203120,43.095862
74,646432.59375,4773000.25,9.90125316716,EFMO_InvPla_74,-91.200694,43.095582
75,646630.764233476,4772973.24497224,9.89959835028,EFMO_InvPla_75,-91.198267,43.095300
77,647039.835142603,4772907.4321689,8.21243629654,EFMO_InvPla_77,-91.193260,43.094629
78,647225.298268217,4772892.50501439,9.87502947602,EFMO_InvPla_78,-91.190987,43.094458
79,647423.46875,4772865.5,9.87679439704,EFMO_InvPla_79,-91.188560,43.094177
80,647621.639231783,4772838.49498561,9.87512967817,EFMO_InvPla_80,-91.186133,43.093895
81,647819.8125,4772811.5,9.87637081793,EFMO_InvPla_81,-91.183707,43.093614
82,648018,4772784.5,9.87642778245,EFMO_InvPla_82,-91.181280,43.093332
84,644436.18927064,4773073.27256939,8.67318543203,EFMO_InvPla_84,-91.225194,43.096622
85,644622.0625,4773044.5,9.87647101995,EFMO_InvPla_85,-91.222919,43.096328
86,644820.290147725,4773017.61391783,9.88694390276,EFMO_InvPla_86,-91.220491,43.096048
87,645018.423266524,4772990.75502776,9.89959835033,EFMO_InvPla_87,-91.218065,43.095768
88,645216.576733476,4772963.74497224,9.89958470250,EFMO_InvPla_88,-91.215638,43.095487
89,645414.75,4772936.75,9.90090021637,EFMO_InvPla_89,-91.213211,43.095206
90,645612.897352275,4772909.88608217,9.88694390269,EFMO_InvPla_90,-91.210785,43.094926
91,645811.125,4772883,9.87647101992,EFMO_InvPla_91,-91.208357,43.094646
92,646009.298268217,4772856.00501439,9.87502947607,EFMO_InvPla_92,-91.205930,43.094365
93,646207.451731783,4772828.99498561,9.87508640903,EFMO_InvPla_93,-91.203504,43.094084
94,646405.625,4772802,9.87648471592,EFMO_InvPla_94,-91.201077,43.093803
95,646603.8125,4772775,9.87637081793,EFMO_InvPla_95,-91.198650,43.093521
97,647000.438976321,4772721.33428461,9.86259399314,EFMO_InvPla_97,-91.193794,43.092961
98,647198.326733476,4772694.24497224,9.89949799019,EFMO_InvPla_98,-91.191370,43.092679
99,647396.5,4772667.25,9.90090021637,EFMO_InvPla_99,-91.188944,43.092398
100,647594.6875,4772640.25,9.90098703958,EFMO_InvPla_100,-91.186517,43.092116
101,647792.834852275,4772613.38608217,9.88700086735,EFMO_InvPla_101,-91.184091,43.091836
102,647990.181136123,4772587.62742836,9.76804105817,EFMO_InvPla_102,-91.181674,43.091566
105,644595.110768217,4772846.50501439,9.87517299486,EFMO_InvPla_105,-91.223301,43.094551
106,644793.28125,4772819.5,9.87685137761,EFMO_InvPla_106,-91.220875,43.094270
107,644991.451731783,4772792.49498561,9.87508640903,EFMO_InvPla_107,-91.218448,43.093989
108,645189.625,4772765.5,9.87642775093,EFMO_InvPla_108,-91.216021,43.093708
109,645387.8125,4772738.5,9.87642778254,EFMO_InvPla_109,-91.213594,43.093427
110,645586.025899604,4772711.61893444,9.88568535342,EFMO_InvPla_110,-91.211167,43.093147
111,645784.15625,4772684.75,9.90136720715,EFMO_InvPla_111,-91.208740,43.092867
112,645982.326733476,4772657.74497224,9.89954130646,EFMO_InvPla_112,-91.206314,43.092586
113,646180.5,4772630.75,9.90090021641,EFMO_InvPla_113,-91.203887,43.092305
114,646378.647352275,4772603.88608217,9.88704423124,EFMO_InvPla_114,-91.201461,43.092025
115,646576.860768217,4772577.00501439,9.87502947610,EFMO_InvPla_115,-91.199034,43.091744
116,646773.859882583,4772549.12178126,9.76619229839,EFMO_InvPla_116,-91.196622,43.091455
117,646973.396854614,4772521.41684767,7.89239293983,EFMO_InvPla_117,-91.194178,43.091167
118,647171.909863729,4772496.3524218,9.83088344377,EFMO_InvPla_118,-91.191747,43.090903
119,647369.5625,4772469,9.87637081797,EFMO_InvPla_119,-91.189327,43.090619
120,647567.735768217,4772442.00501439,9.87512967809,EFMO_InvPla_120,-91.186901,43.090337
123,643624.092186385,4772779.41102324,5.18872796767,EFMO_InvPla_123,-91.235244,43.094131
124,643775.4375,4772756,9.87648471601,EFMO_InvPla_124,-91.233392,43.093892
125,643973.625,4772729,9.87642775093,EFMO_InvPla_125,-91.230965,43.093611
127,644369.985766524,4772675.25502776,9.89954138577,EFMO_InvPla_127,-91.226111,43.093052
128,644568.139233476,4772648.24497224,9.89954138582,EFMO_InvPla_128,-91.223684,43.092771
